XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX
*down: administratively down
!down: FIB overload down
^down: standby
(l): loopback
(s): spoofing
(d): Dampening Suppressed
(E): E-Trunk down
The number of interface that is UP in Physical is 503
The number of interface that is DOWN in Physical is 80
The number of interface that is UP in Protocol is 498
The number of interface that is DOWN in Protocol is 85
Interface                         IP Address/Mask      Physical   Protocol VPN 
Eth-Trunk122.810                  10.193.41.3/24       up         up       l3vpn
Eth-Trunk122.850                  10.4.1.61/26         up         up       l3vpn
Eth-Trunk122.851                  10.4.1.125/26        up         up       l3vpn
Eth-Trunk122.903                  10.195.16.6/29       up         up       l3vpn
Eth-Trunk122.930                  10.9.32.4/29         up         up       l3vpn
Eth-Trunk122.932                  10.193.17.9/29       up         up       l3vpn
Eth-Trunk122.1003                 10.193.17.100/29     up         up       l3vpn
Eth-Trunk122.1004                 10.9.192.158/27      up         up       l3vpn
Eth-Trunk122.1005                 10.9.192.125/25      up         up       l3vpn
Eth-Trunk122.1006                 10.193.17.108/29     up         up       l3vpn
Eth-Trunk122.1008                 10.193.17.116/29     up         up       l3vpn
Eth-Trunk122.1009                 10.193.17.124/29     up         up       l3vpn
Eth-Trunk122.1100                 10.120.16.98/29      up         up       l3vpn
Eth-Trunk122.1200                 10.192.0.5/29        up         up       l3vpn
Eth-Trunk122.1300                 10.209.0.82/29       up         up       l3vpn
Eth-Trunk122.1991                 10.120.17.42/29      up         up       l3vpn
Eth-Trunk122.1992                 10.120.17.50/29      up         up       l3vpn
Eth-Trunk122.2000                 10.193.3.61/26       up         up       l3vpn
